scene,view,lpips,psnr,ssim,avg_sigma,u_hist
Ficus,53,0.075297847,24.93149757,0.927979887,0.1481608,"[0.55525803565979, 0.06595131754875183, 0.051619693636894226, 0.05599674955010414, 0.0667824000120163, 0.08112326264381409, 0.07320023328065872, 0.03333579748868942, 0.01475639920681715, 0.0019761386793106794, 0.0]"
Ficus,54,0.079093553,24.57584381,0.924625397,0.154309511,"[0.5347169637680054, 0.06582837551832199, 0.05412464216351509, 0.05657216161489487, 0.06372581422328949, 0.08254213631153107, 0.07874765992164612, 0.044424913823604584, 0.017485791817307472, 0.0018315318739041686, 0.0]"
Ficus,70,0.075357817,24.77606392,0.927594304,0.203437969,"[0.5697648525238037, 0.06310995668172836, 0.048787061125040054, 0.05268147587776184, 0.06118598207831383, 0.07346407324075699, 0.07096384465694427, 0.042764198035001755, 0.015828609466552734, 0.001449948875233531, 0.0]"
Ficus,79,0.077037275,24.91895866,0.927082896,0.210734859,"[0.6464654803276062, 0.06130252406001091, 0.042567770928144455, 0.03820957615971565, 0.0399089977145195, 0.045199133455753326, 0.05138009414076805, 0.04027903452515602, 0.02418934926390648, 0.009059013798832893, 0.0014390264404937625]"
Ficus,89,0.078030244,24.62273788,0.925433695,0.171181977,"[0.5567858815193176, 0.06581775099039078, 0.04872990772128105, 0.04935862123966217, 0.05575834959745407, 0.07017181813716888, 0.07550179958343506, 0.055946025997400284, 0.01974344812333584, 0.002186418045312166, 0.0]"
Ficus,91,0.077904277,24.62082481,0.925682604,0.172575161,"[0.6159990429878235, 0.06606390327215195, 0.05220453068614006, 0.057940997183322906, 0.06927884370088577, 0.07379957288503647, 0.049664996564388275, 0.013742300681769848, 0.001296783215366304, 9.0054390966543e-06, 0.0]"
Ficus,93,0.077560648,24.64492416,0.925745964,0.207903817,"[0.5498674511909485, 0.06756679713726044, 0.06375688314437866, 0.0694921463727951, 0.08014684915542603, 0.08026106655597687, 0.04885988309979439, 0.02095859684050083, 0.00459310645237565, 0.014497246593236923, 0.0]"
Ficus,97,0.076946482,24.84179688,0.926980436,0.193825737,"[0.6312912106513977, 0.06371860951185226, 0.04542031139135361, 0.039525434374809265, 0.04092012345790863, 0.04594099521636963, 0.04770759865641594, 0.04501120373606682, 0.037749532610177994, 0.0027056930121034384, 9.297914402850438e-06]"
Ficus,98,0.076966703,24.70085335,0.926350772,0.17618458,"[0.6246973276138306, 0.07308395206928253, 0.0500074103474617, 0.04451005533337593, 0.041804615408182144, 0.046116024255752563, 0.0476231649518013, 0.03477540984749794, 0.026263773441314697, 0.010426446795463562, 0.0006918021244928241]"
Lego,3,0.1442013085,24.40921402,0.8760136962,0.113204,"[0.3805643916130066, 0.19757916033267975, 0.1502477079629898, 0.09728337079286575, 0.05680065229535103, 0.03673350811004639, 0.02347155474126339, 0.015526721253991127, 0.010278559289872646, 0.009189728647470474, 0.02232465334236622]"
